CODPRODUTO;DESCPRODUTO;VALORCUSTO
1;ERVA MATE P/ TERERÉ - TRADICIOANAL;4,12
2;ERVA MATE P/ TERERÉ - PURA FOLHA;5,10
3;ERVA MATE P/ TERERÉ - BURRITO;5,58
4;BOMBA INOX - CHATA;27,21
5;BOMBA INOX - QUADRADA;27,21
6;BOMBA INOX - REDONDA ROSCA;18,21
7;BOMBA INOX - REDONDA MOLA;11,21
8;COPO INOX - QUADRADO POLIDO;26,44
9;GARRAFA DE 2,5 LITROS;85,00
13;COPO INOX - COURO;16,21
14;COPO INOX - REDONDO POLIDO;26,44
16;BOMBA INOX - MOLA INTERNA;20,21
22;COPO INOX - QUADRADO MARROM;30,44
23;COPO INOX - QUADRADO VERDE;30,44
24;COPO INOX - QUADRADO AZUL;30,44
25;COPO INOX - QUADRADO PRETO FOSCO;30,44
26;COPO INOX - REDONDO MARROM;30,44
27;COPO INOX - REDONDO VERDE;30,44
28;COPO INOX - REDONDO AZUL;30,44
29;COPO INOX - REDONDO PRETO FOSCO;30,44
30;ERVA MATE P/ CHIMARRÃO;9,05
31;BOMBA INOX - CHATA PRETA;29,21
32;BOMBA INOX - QUADRADA PRETA;29,21
33;BOMBA INOX - REDONDA ROSCA;20,21
34;BOMBA INOX - REDONDA MOLA PRETA;13,21
35;BOMBA INOX - MOLA INTERNA PRETA;21,21
36;BOMBA INOX - CHIMARRÃO BOLA;22,94
37;BOMBA INOX - CHIMARRÃO LISA;22,94
38;COPO INOX - QUADRADO ROSE;29,44
39;COPO INOX - REDONDO ROSE;29,44
40;BOMBA INOX - CHATA ROSE;29,21
41;BOMBA INOX - QUADRADA ROSE;29,21
42;BOMBA INOX - ROSCA ROSE;20,21
43;BOMBA INOX - REDONDA MOLA;13,21
44;BOMBA INOX - MOLA INTERNA ROSE;21,21
45;GARRAFA TERMICA INOX 2,5 LITROS ENCOURADA ;335,00
46;ERVA MATE P/ TERERÉ - MENTA E LIMÃO;4,52
47;ERVA MATE P/ TERERÉ - SUPREME FITX ;4,11
48;ERVA MATE P/ TERERÉ - HORTELA;4,69
49;ERVA MATE P/ TERERÉ - BOLDO E MENTA;5,03
50;ERVA MATE P/ TERERÉ - MENTA STRONGER;5,77
52;COPO INOX - QUADRADO LARANJA;29,44
53;COPO INOX - QUADRADO VERDE PISCINA;29,44
54;COPO INOX - QUADRADO VERDE LIMÃO;29,44
55;COPO INOX - QUADRADO VERDE LIMÃO / VERDE PISCINA;30,44
56;COPO INOX - QUADRADO VERDE LIMÃO / LARANJA;30,44
57;COPO INOX - QUADRADO VERDE / PRETO;30,44
60;CANIVETE INOX - POLIDO ;46,50
61;BOMBA INOX - QUADRADA TELA POLIDA;25,21
62;GARRAFA TERMICA INOX 2,5 LITROS STANDARD;166,21
63;PALHEIRO TRADICIONAL;8,69
64;PALHEIRO TRADICIONAL;8,69
65;GARRAFA GRAVAÇÃO TROT'S;8,69
66;ERVA MATE P/ TERERE - EUCALIPTO;5,07
67;ERVA MATE P/ TERERE - MENTA E CEREJA;4,88
68;GARRAFA TERMICA INOX 2,5 LITRO PRETA GRAVADA;80,00
